name,n,start,ratio_guess,ratio_implied,ratio_used,ratio_error,r_first,r_second,drift,mean,median,std,min,max,pct_neg
Alibaba,1609,2019-11-26,8,7.981468178833011,8,0.002316477645873616,7.9648868697103765,7.995247786365183,0.003811845309475215,-0.001651536247675136,-0.002316477645873616,0.021882353301591512,-0.10377718512143896,0.1460096282273018,0.5550031075201989
JD.com,1475,2020-06-18,2,1.9967326681901665,2,0.001633665904916759,1.9932111248409534,2.0000447362877862,0.003428443360398208,-0.0006569987091200916,-0.001633665904916759,0.023225398258956736,-0.13509359033556556,0.14192839226996523,0.5301694915254237
NetEase,1480,2020-06-11,5,4.992955398658889,5,0.0014089202682221469,4.98815425053786,4.996154560899118,0.0016038618614079418,-0.0008393972344545528,-0.001408920268222258,0.019800625507617905,-0.10357390600484573,0.13972981823203212,0.5425675675675675
Baidu,1291,2021-03-23,8,7.980404843474627,8,0.0024493945656716143,7.966759137731828,7.990199831200349,0.002942312308339022,-0.002204475310442193,-0.0024493945656716143,0.024770654675578548,-0.19099076285417482,0.2259283716649032,0.5561580170410535
Bilibili,1287,2021-03-29,1,0.9961756850562478,1,0.0038243149437522383,0.9952521698819771,0.9966036999947683,0.0013579775595480318,-0.0031259455689761064,-0.0038243149437522383,0.03538325083067591,-0.20357998746904704,0.212115024831111,0.560994560994561
Li Auto,1197,2021-08-12,2,1.9940272078304875,2,0.00298639608475626,1.993127696632132,1.994929124170593,0.0009038194298864867,-0.0029640776937874583,-0.00298639608475626,0.029234974898730327,-0.3426853403590371,0.15597457701110073,0.5605680868838764
XPeng,1223,2021-07-07,2,1.994325752993434,2,0.0028371235032830233,1.9885136883061914,1.9981474126761327,0.0048446859715345165,-0.002581973914884509,-0.0028371235032830233,0.03565927679113407,-0.2679763298934349,0.25624750091022985,0.5437448896156991
NIO,1060,2022-03-10,1,0.9924732404277125,1,0.007526759572287545,0.9951930570287906,0.9909949526474384,0.004218381902588678,-0.005526471796950744,-0.007526759572287545,0.03811629651817882,-0.24555650010315044,0.16877046963930042,0.5849056603773585
Trip.com,1275,2021-04-19,1,0.9971188665946346,1,0.0028811334053654436,0.9953445378026571,0.9984009388971409,0.003070696606454655,-0.0031935334972610424,-0.0028811334053654436,0.023720303082343335,-0.23500967751340485,0.1278154954613564,0.5592156862745098
Yum China,1419,2020-09-10,1,0.9976369832279736,1,0.0023630167720264383,0.9966535186373836,0.9983500122462661,0.0017021899558453347,-0.0023124483501558296,-0.0023630167720264383,0.018152393709360472,-0.18329409340279257,0.07759959094861268,0.5665961945031712
Weibo,1119,2021-12-08,1,0.9950926632513101,1,0.004907336748689928,0.9961535923744337,0.9947863538103117,0.0013725178271586284,-0.004183235503907852,-0.004907336748689928,0.028384182813587726,-0.1967770898125849,0.12518145709116535,0.5942806076854334
BeiGene,1921,2018-08-08,13,12.977248735686366,13,0.0017500972548948933,12.997194807793086,12.966650102534626,0.0023500998261675584,-0.0015023432572796877,-0.0017500972548948335,0.02871232298245574,-0.1599209971848672,0.18957805827729324,0.5257678292555961
Zai Lab,1407,2020-09-28,10,9.981815960786559,10,0.001818403921344114,9.96922704760373,9.990108003777078,0.002094541138810337,-0.001649024093335932,-0.001818403921344136,0.03919049698069003,-0.21093676485497936,0.37958033883633346,0.5366027007818053
Autohome,1297,2021-03-15,4,4.009628221505941,4,0.002407055376485223,3.9987064681746185,4.019191095709018,0.005122813514178841,0.003561029171852879,0.002407055376485223,0.029253853481110807,-0.11271628576511683,0.16893308383425176,0.4548959136468774
New Oriental Ed.,1381,2020-11-09,10,9.987430864135947,10,0.0012569135864053393,9.992197985756452,9.984719598238486,0.000748422672231409,-0.0009507032594166699,-0.0012569135864052283,0.03599472753218387,-0.2593952180398663,0.23307021913474224,0.5235336712527154
ZTO Express,1406,2020-09-29,1,0.9985133459100763,1,0.0014866540899236558,0.9992573169916239,0.9980757174852529,0.0011824777124758176,-0.001342278202737362,-0.0014866540899236558,0.019739523920022126,-0.1459202075462228,0.0972388356403715,0.5391180654338549
Baozun,1406,2020-09-29,3,3.006474211698607,3,0.002158070566202319,3.0032850096353076,3.0090384497122975,0.001915715644213369,0.004408817560450005,0.002158070566202319,0.04620441599535042,-0.16834435296701755,0.3604699762603214,0.4751066856330014
Lufax,799,2023-04-14,2,1.9451469608520102,2,0.02742651957399489,1.9523469071891204,1.9339458094703557,0.009425116843224146,-0.05495107349821139,-0.02742651957399489,0.16639831372083638,-0.5577122830203443,0.9372333298144462,0.6570713391739674
Tuya,987,2022-07-05,1,0.9919345502339302,1,0.008065449766069821,1.0025605465239662,0.9842856019370292,0.018228270252903026,-0.009019864639541337,-0.008065449766069821,0.06379115639047912,-0.28736696026397857,0.262574112350066,0.569402228976697
Miniso,981,2022-07-13,4,3.9864344804212117,4,0.0033913798946970664,3.982439031206554,3.9888399709847913,0.001607291342837685,-0.0012453214144720404,-0.0033913798946970664,0.032927796660308276,-0.18775723188410165,0.3233525088932463,0.5555555555555556
Kanzhun (BOSS),869,2022-12-22,2,2.0233484964131407,2,0.01167424820657037,2.037482767003156,2.0138054561062395,0.011620864372630891,0.01113120310578123,0.01167424820657037,0.05124624893406949,-0.2435173075054139,0.2602685746558209,0.3670886075949367
Qifu Technology,886,2022-11-29,2,1.995266010415552,2,0.0023669947922240198,2.0047810789328464,1.988686016489732,0.008028339159945533,-0.0019482284378764157,-0.0023669947922239643,0.03442446700911517,-0.14974792269243775,0.25137635516780765,0.5338600451467269
