name,stale_a,stale_h,jumps,n,stale_pct
Chongqing Iron & Steel,428,176,40,2977,10.14
Guangzhou Shipyard,266,142,25,2977,6.85
Luoyang Glass,249,134,48,2977,6.43
Yizheng Chemical,143,216,26,2977,6.03
China Shipping Container,126,173,14,2977,5.02
Beiren Printing,131,157,49,2977,4.84
COSCO Shipping,144,81,19,2977,3.78
China Shipping Dev,93,84,2,2977,2.97
Beijing North Star,29,124,7,2977,2.57
CRRC,80,73,12,2977,2.57
Nanjing Panda,76,63,33,2977,2.33
ZTE,74,61,13,2977,2.27
Chalco,108,10,4,2977,1.98
Shandong Xinhua Pharma,61,56,21,2977,1.97
China Railway Group,96,12,9,2977,1.81
Guangzhou Pharmaceutical,69,27,5,2977,1.61
Dongfang Electric,75,0,14,2977,1.26
Bank of China,52,22,4,2977,1.24
China Shenhua,73,0,12,2977,1.23
Zijin Mining,34,26,4,2977,1.01
Datang Power,14,46,8,2977,1.01
New China Life,25,25,4,2977,0.84
Shanghai Petrochemical,9,39,17,2977,0.81
China Eastern Airlines,29,19,12,2977,0.81
Guangshen Railway,16,27,1,2977,0.72
Air China,20,20,6,2977,0.67
Great Wall Motor,20,14,13,2977,0.57
Tianjin Capital Env.,5,26,13,2977,0.52
Maanshan Iron,11,14,12,2977,0.42
Minsheng Bank,18,6,2,2977,0.4
Bank of Communications,18,6,3,2977,0.4
CITIC Bank,22,0,3,2977,0.37
Huadian Power,13,3,8,2977,0.27
Sinopec,9,7,3,2977,0.27
Chenming Paper,8,7,10,2977,0.25
China Railway Const.,9,6,8,2977,0.25
Angang Steel,6,9,6,2977,0.25
BYD,7,7,3,2977,0.24
Anhui Expressway,8,6,15,2977,0.24
CITIC Securities,14,0,8,2977,0.24
China Coal Energy,0,12,6,2977,0.2
Anhui Conch Cement,6,6,2,2977,0.2
Guangzhou Automobile,10,0,8,2977,0.17
Huaneng Power,3,7,5,2977,0.17
PetroChina,9,0,2,2977,0.15
Jiangxi Copper,8,0,5,2977,0.13
China Merchants Bank,3,3,1,2977,0.1
Shenzhen Expressway,0,6,4,2977,0.1
China Pacific Insurance,3,0,3,2977,0.05
China Southern Airlines,3,0,13,2977,0.05
China Comm. Construction,0,3,12,2977,0.05
ICBC,0,3,2,2977,0.05
Huatai Securities,0,0,4,2644,0.0
Tsingtao Brewery,0,0,3,2977,0.0
Guangdong Kelon,0,0,16,2977,0.0
Yanzhou Coal,0,0,21,2977,0.0
China Construction Bank,0,0,4,2977,0.0
Jiangsu Expressway,0,0,2,2977,0.0
China Life,0,0,5,2977,0.0
Weichai Power,0,0,3,2977,0.0
China Oilfield Services,0,0,5,2977,0.0
Ping An,0,0,1,2977,0.0
CNOOC,0,0,0,1019,0.0
