name,tier,sector,n,start,mean,median,std,min,max,pct_neg,stale_a,stale_h,jumps
Luoyang Glass,extended,Materials,2977,2014-01-02,3.2707961390635756,2.5138830262695597,1.807494722643857,0.9203011313332459,8.443894300063265,0.0,249,134,48
Beiren Printing,extended,Industrials,2977,2014-01-02,2.7301925664732534,2.477064714940558,0.9475241002819825,0.7457583437018027,5.772000943608017,0.0,131,157,49
Yizheng Chemical,extended,Materials,2977,2014-01-02,2.314132431479761,2.3080839760492085,0.7172027159643833,0.15829191983449342,4.245548872919897,0.0,143,216,26
Nanjing Panda,extended,Technology,2977,2014-01-02,1.8908165734689488,1.837459145433551,0.7769059966527597,0.48577481692545565,5.271901064439695,0.0,76,63,33
Shandong Xinhua Pharma,extended,Healthcare,2977,2014-01-02,1.7761949293559176,1.6144105374412558,0.8032565736704257,0.5569642088970521,5.660856383308113,0.0,61,56,21
China Shipping Container,extended,Shipping,2977,2014-01-02,1.730903949764562,1.742245327404473,0.4831647578729611,0.30311967401908424,3.8175571424815127,0.0,126,173,14
Guangzhou Shipyard,extended,Industrials,2977,2014-01-02,1.6479890457404038,1.5745026198103806,0.6449799925286321,0.012224943176196046,3.503911241023392,0.0,266,142,25
Tianjin Capital Env.,extended,Utilities,2977,2014-01-02,1.5066323688338752,1.3553949789247968,0.6221994122921212,0.4569465074642407,3.9009450455815964,0.0,5,26,13
Shanghai Petrochemical,core,Materials,2977,2014-01-02,1.281590579933093,1.2987249649583625,0.4915375059596876,0.21626115811142865,2.6774389709778315,0.0,9,39,17
Guangzhou Automobile,core,Autos,2977,2014-01-02,1.2523732083724342,1.3481577330272545,0.6767639309124757,-0.013637089322718232,3.242726397366275,0.0003359086328518643,10,0,8
Beijing North Star,extended,Real Estate,2977,2014-01-02,1.2002169414970643,1.1997225978384223,0.4614302019360004,0.33595893199724425,2.4447536122786344,0.0,29,124,7
Datang Power,extended,Utilities,2977,2014-01-02,1.1296224602782932,1.1504612684566782,0.3857017678352959,0.0663699480383837,2.713338828497877,0.0,14,46,8
Chenming Paper,extended,Materials,2977,2014-01-02,1.0459422628262414,0.9686509719412262,0.5180487004546094,0.3144111829070446,2.8320901848357365,0.0,8,7,10
China Oilfield Services,extended,Energy,2977,2014-01-02,1.013276549399181,1.0384877897460867,0.41150712466333605,0.04123115970776725,2.207071175292398,0.0,0,0,5
Chongqing Iron & Steel,extended,Materials,2977,2014-01-02,1.012561807269874,0.9647534576371237,0.5208691612166215,-0.10205348144070125,2.8163705373907297,0.0006718172657037286,428,176,40
