name,za_stat,za_p,break_date,za_window_start,za_window_end,sub_stat,sub_p,za_p_fdr,sub_p_fdr
ICBC,-4.110749237224885,0.28621858403937694,2024-09-11,2015-11-20,2024-09-26,-2.8168373567609977,0.05590863060411608,0.8234424042050965,0.17323182622122912
China Construction Bank,-4.606082384224277,0.09094609179881172,2024-08-27,2015-11-20,2024-09-26,-2.6371676718737653,0.08555616401235627,0.5729603783325139,0.19963104936216464
Bank of China,-4.63478686065257,0.0844330049345231,2024-09-10,2015-11-20,2024-09-26,-2.8424520921186414,0.05246098188996119,0.5729603783325139,0.17323182622122912
Bank of Communications,-3.4004253718528843,0.7409228070638099,2024-09-09,2015-11-20,2024-09-26,-3.661016302029757,0.004696134578153292,0.9211071748444128,0.052361056679308696
China Merchants Bank,-3.8030161621717142,0.47675798594960606,2015-11-24,2015-11-20,2024-09-26,-2.7984590531356037,0.05849421871503328,0.8234424042050965,0.17323182622122912
CITIC Bank,-4.614157595649507,0.08911381474643604,2024-04-18,2015-11-20,2024-09-26,-1.344533461435967,0.6085601110866996,0.5729603783325139,0.6183755967493884
Minsheng Bank,-3.547205656529206,0.6490686081836694,2024-04-17,2015-11-20,2024-09-26,-1.8654081327445777,0.3485050234585303,0.9211071748444128,0.4417043836040675
Ping An,-4.657410329757865,0.07929970735209085,2023-07-28,2015-11-20,2024-09-26,-2.9746900978156607,0.037326586384070576,0.5729603783325139,0.15220375458720894
China Life,-2.968288790221999,0.9203351839943456,2024-09-12,2015-11-20,2024-09-26,-1.3532338328445042,0.6044799230690877,0.9211071748444128,0.6183755967493884
China Pacific Insurance,-5.015459272898921,0.027013730424850623,2024-09-12,2015-11-20,2024-09-26,-3.0354408728382003,0.031714622803237676,0.42546625419139733,0.15220375458720894
New China Life,-3.3953536020244344,0.743972578457947,2024-09-10,2015-11-20,2024-09-26,-1.939805656762303,0.31357307955227093,0.9211071748444128,0.43628444203275857
CITIC Securities,-4.1632496133396275,0.2579564319414107,2024-09-11,2015-11-20,2024-09-26,-1.8971457497930861,0.3334050292054491,0.8234424042050965,0.4417043836040675
Huatai Securities,-4.365103770016846,0.1652310327679703,2024-09-23,2017-01-25,2024-12-13,-2.905242401253098,0.04474176499524564,0.7714113878201081,0.1658077173353221
Sinopec,-4.1354859309872545,0.27263378569081487,2016-01-20,2015-11-20,2024-09-26,-2.2035722051834727,0.20495150809530266,0.8234424042050965,0.3342331273034998
PetroChina,-2.9655037560312962,0.9211071748444128,2023-05-08,2015-11-20,2024-09-26,-2.6669235189654303,0.07993890427866662,0.9211071748444128,0.19963104936216464
CNOOC,-5.378092560689091,0.006542103032835387,2025-12-22,2022-12-07,2025-12-24,-2.723173294558801,0.07011340052774853,0.2060762455343147,0.1840476763853399
China Shenhua,-3.1076226798928546,0.8758642423747515,2022-07-08,2015-11-20,2024-09-26,-3.42480694980831,0.010141719454147302,0.9211071748444128,0.07099203617903112
China Coal Energy,-2.9813539273430627,0.9167136247524497,2021-04-21,2015-11-20,2024-09-26,-2.7540049691669712,0.06515010846255419,0.9211071748444128,0.17845464491917018
Yanzhou Coal,-3.6423895785497633,0.5863114935541829,2016-11-18,2015-11-20,2024-09-26,-3.1868860678450788,0.020756424869939713,0.9009176608271591,0.1188777060732911
Huaneng Power,-3.850401419111304,0.4463459733936707,2024-02-19,2015-11-20,2024-09-26,-2.3926865034084055,0.14381123779508753,0.8234424042050965,0.2804016572416973
Zijin Mining,-3.8765610120336964,0.4285503319498664,2016-01-21,2015-11-20,2024-09-26,-2.9674101142257556,0.03805201558967495,0.8234424042050965,0.15220375458720894
Chalco,-3.5653599211655136,0.6370395433570675,2020-01-03,2015-11-20,2024-09-26,-3.6680556513878466,0.004585588081749826,0.9211071748444128,0.052361056679308696
Jiangxi Copper,-3.922130396699554,0.39916970198010693,2024-03-26,2015-11-20,2024-09-26,-2.784693647831514,0.06049365360106413,0.8234424042050965,0.17323182622122912
Anhui Conch Cement,-3.79337537151898,0.48360903104108843,2020-01-23,2015-11-20,2024-09-26,-1.5362153699689713,0.5155261544605076,0.8234424042050965,0.5504770801866438
Angang Steel,-3.311896345819701,0.788973386148126,2016-12-05,2015-11-20,2024-09-26,-1.6837331498068582,0.43951253303046917,0.9211071748444128,0.4944021249476702
Maanshan Iron,-3.533241988180991,0.6581208043320025,2016-02-22,2015-11-20,2024-09-26,-2.121689568380314,0.23588302227561514,0.9211071748444128,0.36245440008204277
Shanghai Petrochemical,-4.076506601975061,0.3056604926318925,2015-12-15,2015-11-20,2024-09-26,-1.3732113890117472,0.5950494221203436,0.8234424042050965,0.6183755967493884
CRRC,-3.28235605698849,0.803884726512194,2020-02-12,2015-11-20,2024-09-26,-1.9649287952140422,0.3021590642899622,0.9211071748444128,0.4326368420515368
China Railway Group,-3.068057318376859,0.8903390215933054,2018-02-07,2015-11-20,2024-09-26,-3.496795251041455,0.008069781265476021,0.9211071748444128,0.06354952746562367
China Comm. Construction,-3.7134395380297742,0.5379194111736116,2024-01-31,2015-11-20,2024-09-26,-2.3766031292674814,0.14844917498029436,0.8918137606299351,0.2804016572416973
Weichai Power,-3.4689769991362795,0.6996786089392916,2020-07-17,2015-11-20,2024-09-26,-3.6806105754282292,0.004394298890359436,0.9211071748444128,0.052361056679308696
Guangshen Railway,-4.348851448524453,0.1714247528489129,2020-02-07,2015-11-20,2024-09-26,-1.7483861888485512,0.40637051340578173,0.7714113878201081,0.478507324441592
BYD,-3.894898959252327,0.4165904107356879,2016-05-23,2015-11-20,2024-09-26,-3.6070170006006372,0.005628286112832628,0.8234424042050965,0.052361056679308696
Great Wall Motor,-4.234399188529926,0.22154185465555284,2024-03-26,2015-11-20,2024-09-26,-1.8798532554383052,0.3415973136661381,0.8234424042050965,0.4417043836040675
Guangzhou Automobile,-3.3809430903557534,0.7523282611422603,2016-11-15,2015-11-20,2024-09-26,-2.302169550969372,0.17126920290149011,0.9211071748444128,0.29972110507760774
Air China,-3.384702691169353,0.7503329311276122,2024-09-13,2015-11-20,2024-09-26,-2.1458186482814208,0.22649403575445753,0.9211071748444128,0.3567281063132706
China Southern Airlines,-4.433823769119632,0.14057006128832739,2017-12-06,2015-11-20,2024-09-26,-3.1920927194812654,0.020446970327552515,0.7379928217637188,0.1188777060732911
China Eastern Airlines,-3.3386808884881516,0.7747580466573869,2024-09-25,2015-11-20,2024-09-26,-2.521527141127407,0.11032400729150987,0.9211071748444128,0.23243014726271527
ZTE,-5.026516155960782,0.025772666910521512,2022-03-15,2015-11-20,2024-09-26,-3.9800557827331535,0.0015186220412567192,0.42546625419139733,0.052361056679308696
Tsingtao Brewery,-3.650039087982841,0.581355864224643,2024-03-26,2015-11-20,2024-09-26,-2.520011067182458,0.11068102250605488,0.9009176608271591,0.23243014726271527
Chenming Paper,-4.680415426715091,0.07424513686339607,2015-12-23,2015-11-20,2024-09-26,-0.9737301622165562,0.7627246497973525,0.5729603783325139,0.7627246497973525
Shandong Xinhua Pharma,-3.84736884950053,0.4484089459180069,2022-04-27,2015-11-20,2024-09-26,-2.3558662630234477,0.15458207666695584,0.8234424042050965,0.2804016572416973
Guangdong Kelon,-3.0377697658581644,0.9010755721648286,2016-09-13,2015-11-20,2024-09-26,-2.6470113996218236,0.08366491118495212,0.9211071748444128,0.19963104936216464
Anhui Expressway,-3.234746484578353,0.8249882603819357,2017-12-01,2015-11-20,2024-09-26,-1.6686823041712995,0.44731620828598734,0.9211071748444128,0.4944021249476702
China Shipping Dev,-3.8022250938116966,0.4773201436812842,2019-08-08,2015-11-20,2024-09-26,-1.9808273207458693,0.29504240129898773,0.8234424042050965,0.43227142515898204
Huadian Power,-3.8222415559893483,0.4644084749687984,2024-05-08,2015-11-20,2024-09-26,-2.494638102201574,0.11678438917866657,0.8234424042050965,0.2373360167179353
Guangzhou Pharmaceutical,-4.501155844974029,0.11915178929841272,2019-08-23,2015-11-20,2024-09-26,-3.060864044445942,0.029588283689375324,0.6824147932545456,0.15220375458720894
Jiangsu Expressway,-3.2209371714412436,0.8311094098221438,2019-12-18,2015-11-20,2024-09-26,-1.693639364060487,0.4343926117295916,0.9211071748444128,0.4944021249476702
Shenzhen Expressway,-4.1622223982150635,0.25849947229061987,2016-03-02,2015-11-20,2024-09-26,-2.351887073669565,0.1557786984676096,0.8234424042050965,0.2804016572416973
Guangzhou Shipyard,-4.071257582716466,0.3088370959111195,2019-02-13,2015-11-20,2024-09-26,-2.1981812462915205,0.2069062216640713,0.8234424042050965,0.3342331273034998
Nanjing Panda,-3.907186022277338,0.40871408828375777,2019-09-10,2015-11-20,2024-09-26,-2.0941251250127957,0.2468834709091698,0.8234424042050965,0.3703252063637547
Beiren Printing,-3.9395067502840386,0.38848576593455575,2024-09-25,2015-11-20,2024-09-26,-2.2410747557965434,0.1916767270185808,0.8234424042050965,0.32636848113974565
Yizheng Chemical,-3.9211414266317424,0.3997777750665628,2020-01-15,2015-11-20,2024-09-26,-2.5212478525902084,0.11038971140097004,0.8234424042050965,0.23243014726271527
Tianjin Capital Env.,-6.483611501368401,0.00032265135290843384,2017-04-05,2015-11-20,2024-09-26,-1.8611357136445421,0.35055903460640275,0.020327035233231334,0.4417043836040675
Dongfang Electric,-4.20137950808736,0.2381107005525654,2024-01-19,2015-11-20,2024-09-26,-1.7506436794341729,0.4052261298218625,0.8234424042050965,0.478507324441592
Luoyang Glass,-4.682660469285792,0.07382725238519247,2020-09-30,2015-11-20,2024-09-26,-1.7480824735965819,0.4065245477912727,0.5729603783325139,0.478507324441592
Chongqing Iron & Steel,-3.9221349362759486,0.3991669107993431,2016-04-06,2015-11-20,2024-09-26,-3.5970386630365705,0.005817895186589855,0.8234424042050965,0.052361056679308696
China Railway Const.,-3.8028719668203967,0.4768604556421284,2020-04-29,2015-11-20,2024-09-26,-1.6034665909000088,0.48185186874538916,0.8234424042050965,0.5233908229475779
Beijing North Star,-4.016856430199339,0.3419899201231049,2018-01-05,2015-11-20,2024-09-26,-1.7409454118421315,0.4101491352356503,0.8234424042050965,0.478507324441592
China Oilfield Services,-3.1602119494754,0.8566247349544889,2020-02-05,2015-11-20,2024-09-26,-2.8133279176836443,0.05639504559030516,0.9211071748444128,0.17323182622122912
COSCO Shipping,-3.64989527509857,0.5814490314209835,2021-09-27,2015-11-20,2024-09-26,-1.9289719752311483,0.3185568941826491,0.9009176608271591,0.43628444203275857
China Shipping Container,-3.246124344546116,0.8199448827366506,2020-11-27,2015-11-20,2024-09-26,-3.779684114653179,0.0031221482533385775,0.9211071748444128,0.052361056679308696
Datang Power,-3.239737188230633,0.8227760690467051,2020-02-06,2015-11-20,2024-09-26,-2.9614478479466797,0.03865492179992608,0.9211071748444128,0.15220375458720894
