name,n,alpha,beta,se_beta,t_beta_eq_1,r2,eg_stat,eg_p,crit_5pct,naive_adf_p,eg_p_fdr,cointegrated
ICBC,2977,0.5084144049692232,0.7927683477593207,0.01284497816006274,-16.133281789843625,0.561476602839643,-2.654705341338405,0.21629042728650577,-3.3381838953880143,0.08184700281207447,0.278968641952347,False
China Construction Bank,2977,0.4352805596111069,0.8769576749324381,0.013923373484883877,-8.837105835101287,0.5714526012359391,-2.920632172857342,0.13029674923760554,-3.3381838953880143,0.04469477941152935,0.19933302787240004,False
Bank of China,2977,0.44507649553968287,0.8302728538776903,0.011261323280106553,-15.071687571756108,0.6462877668554314,-3.4200276176321287,0.0401742116138889,-3.3381838953880143,0.010265875191417143,0.1796764773409146,False
Bank of Communications,2977,0.4090733027531597,0.8633548263182662,0.010994821274408676,-12.428139600575985,0.6745426466950382,-3.2911377720845203,0.05596225562352733,-3.3381838953880143,0.015061510351107636,0.1796764773409146,False
China Merchants Bank,2977,0.24050314858694555,0.9396896747241841,0.003284955788711439,-18.35955463482001,0.964919310871501,-3.410223590417523,0.04122756620984771,-3.3381838953880143,0.010602810774558913,0.1796764773409146,False
CITIC Bank,2977,0.9468019599604194,0.6364926737415941,0.00735019129674882,-49.45549191613483,0.7159568665905549,-4.014505360787461,0.006846590606866417,-3.3381838953880143,0.001330420568595666,0.14913137413962158,False
Minsheng Bank,2977,0.5554776038026009,0.8117955523342133,0.005003900601823313,-37.611547998617134,0.8984447544101962,-2.1745175421260328,0.43754053843500385,-3.3381838953880143,0.21610766351279243,0.4628912065421826,False
Ping An,2977,0.035154061122819824,1.0026076987685,0.005717672740797097,0.45607695415887683,0.9117825009862162,-3.4788944924164333,0.03431277132924883,-3.3381838953880143,0.008514892938636491,0.1796764773409146,False
China Life,2977,3.365709230075734,0.052678054400207786,0.014576734462537513,-64.98862609004972,0.004370686659375789,-3.1791884283200544,0.07347768652722843,-3.3381838953880143,0.020846555264911096,0.1796764773409146,False
China Pacific Insurance,2977,1.565055020177443,0.5980468339681897,0.011439320801154408,-35.1378524143887,0.4788190815099207,-3.239396377326552,0.0635827955071521,-3.3381838953880143,0.01767016828743968,0.1796764773409146,False
New China Life,2977,1.5739602580412768,0.6895283396801822,0.008547492319654973,-36.323128317516904,0.6862704300682951,-3.0630258110958204,0.09597311993838209,-3.3381838953880143,0.02912716137654603,0.18931184147823082,False
CITIC Securities,2977,1.0002464938762117,0.7470639179974041,0.015747325661780238,-16.062161120887204,0.43068941195712607,-3.0621611800770583,0.09615839567148232,-3.3381838953880143,0.028621867935338836,0.18931184147823082,False
Huatai Securities,2644,1.2307668192845513,0.678706077820447,0.007879084927240432,-40.77807577231978,0.7374315170355952,-3.896121766801969,0.010042289466104005,-3.3384427815119686,0.0020538621902353497,0.14913137413962158,False
Sinopec,2977,0.9292699222113973,0.5586069968960591,0.00844874023101423,-52.243647104173526,0.5950443414331451,-3.175324571872693,0.07415219699783777,-3.3381838953880143,0.021448227120187104,0.1796764773409146,False
PetroChina,2977,0.9870574949124294,0.6821006390488387,0.0055652779774010685,-57.12191955946418,0.8346932200404915,-2.989204435959823,0.11279394140475513,-3.3381838953880143,0.03590684417702253,0.19769701466223286,False
CNOOC,1019,0.9041366720697237,0.8501526355642932,0.00501787722646256,-29.86270043544774,0.9657826324068037,-4.340881501496794,0.0022091284331736934,-3.3421386467166636,0.0003803113512707797,0.13917509128994268,False
China Shenhua,2977,0.5465378911365937,0.899385957703474,0.007353042070725723,-13.6833219950006,0.8341316683721269,-2.911058647323584,0.1328886852482667,-3.3381838953880143,0.04295859943496978,0.19933302787240004,False
China Coal Energy,2977,0.9198638863911213,0.7512902294123343,0.005456805723422875,-45.57790458254729,0.8643450564782775,-2.946676388800636,0.12343082716453768,-3.3381838953880143,0.04007328182995323,0.19933302787240004,False
Yanzhou Coal,2977,0.9244549061238012,0.809175822577258,0.005847271522000393,-32.63473856221059,0.8655395357452486,-2.5729922919289976,0.247859315101847,-3.3381838953880143,0.09887555835801903,0.3061791539493404,False
Huaneng Power,2977,1.3982129737908489,0.42592167473783815,0.009492609953493046,-60.476341920160245,0.4035931924428371,-2.950825782046002,0.12236180053009982,-3.3381838953880143,0.039157238145978955,0.19933302787240004,False
Zijin Mining,2977,0.6313813029236681,0.808267956853347,0.0025043977055859527,-76.55814518556812,0.9722314932799169,-2.4744015911963313,0.29047389003727625,-3.3381838953880143,0.12229917424311126,0.35192028985285395,False
Chalco,2977,0.7939127176773855,0.7559393205268632,0.00668213052459173,-36.52438074577249,0.8113872009452868,-3.2750067442415607,0.05825393700938708,-3.3381838953880143,0.016058888359816052,0.1796764773409146,False
Jiangxi Copper,2977,0.998102668303912,0.8173832390470341,0.006001509171091563,-30.428473196809474,0.8617849410894802,-3.815638104204338,0.01291886004931174,-3.3381838953880143,0.002730845551637545,0.14913137413962158,False
Anhui Conch Cement,2977,0.33895848428735253,0.9176413558199139,0.008528914829963142,-9.65640363657401,0.7955466538540943,-2.5915679727113505,0.24024239648118484,-3.3381838953880143,0.0920530627900511,0.30270541956629293,False
Angang Steel,2977,0.6944283153871466,0.5950605449638504,0.005807382991639874,-69.72838809134643,0.7792097174259384,-3.3037422104917784,0.05422314931600719,-3.3381838953880143,0.014544971112060927,0.1796764773409146,False
Maanshan Iron,2977,0.8333921914572383,0.5565527444672699,0.009670937792141678,-45.85359404266486,0.5267928121877427,-3.0948104898771818,0.08934987193770022,-3.3381838953880143,0.02651942283481879,0.18931184147823082,False
Shanghai Petrochemical,2977,1.0702979288341916,0.6464125045769975,0.004967598445664299,-71.178759573776,0.8505604293648859,-3.551646682062675,0.02808350819456366,-3.3381838953880143,0.0067609338229536525,0.1796764773409146,False
CRRC,2977,0.8480065470219728,0.7753690748609711,0.010107323869135367,-22.224569831484487,0.6642202533029816,-3.018658386829512,0.10583675396807718,-3.3381838953880143,0.033053154642903176,0.19769701466223286,False
China Railway Group,2977,0.29519392043382364,1.0807282998590542,0.01486923705752707,5.429216007971847,0.6397300474402248,-3.3894942388488545,0.043530810990416446,-3.3381838953880143,0.011328005429079732,0.1796764773409146,False
China Comm. Construction,2977,1.0947430674298515,0.7373311135085076,0.01187199965040642,-22.125075322294197,0.5645648778445123,-3.4572944241153074,0.03637360575762582,-3.3381838953880143,0.008564233280926273,0.1796764773409146,False
Weichai Power,2977,0.09506516229058026,0.9995664630710479,0.005507669063889513,-0.078715137733045,0.9171592465350709,-3.230547435507905,0.06496609117914456,-3.3381838953880143,0.017984444550961553,0.1796764773409146,False
Guangshen Railway,2977,0.7171962295245371,0.6696961370041875,0.005278670769646896,-62.57330252439809,0.8440004903521204,-3.1971399908971576,0.07040739295061832,-3.3381838953880143,0.019737718925164887,0.1796764773409146,False
BYD,2977,0.5720732412193333,0.903085076362366,0.0027786168521535945,-34.878836771798575,0.9726079347203348,-2.7950557011373127,0.16726291947372512,-3.3381838953880143,0.05904464115087688,0.23949008924647008,False
Great Wall Motor,2977,0.4561325817058455,1.072057990623255,0.011386335867314572,6.328461716126212,0.7487287051499293,-2.083586318652575,0.4849493140861301,-3.3381838953880143,0.2507599029801839,0.5008492915971507,False
Guangzhou Automobile,2977,1.495976848540312,0.5848438890341034,0.011050926398602086,-37.567539226251,0.4849200922230026,-2.4276292298406448,0.3118832535986241,-3.3381838953880143,0.132813893467509,0.3638637958650615,False
Air China,2977,0.7142753642335392,0.8392546979642721,0.014468929090165505,-11.109688977948345,0.5307167925276782,-2.975649022377109,0.11610777051591453,-3.3381838953880143,0.03615882314490887,0.19769701466223286,False
China Southern Airlines,2977,0.5403231434374063,0.9722071773047021,0.00800574081300144,-3.471611602784089,0.8321330670153014,-3.8445873559287933,0.011809347943835091,-3.3381838953880143,0.002450656926716826,0.14913137413962158,False
