name,group,phi,t_phi_eq_1,half_life
ICBC,A-H,0.9922580596260034,-3.631237762571015,89.18443174867551
China Construction Bank,A-H,0.9920558190136992,-3.6535574802885327,86.90515466527933
Bank of China,A-H,0.9909847395251425,-3.89075981594569,76.53888818714242
Bank of Communications,A-H,0.9867624181150413,-4.673335559239818,52.01472601366827
China Merchants Bank,A-H,0.9828937837258866,-5.175083967890066,40.17262251668081
CITIC Bank,A-H,0.9908851048043406,-3.7199684426507478,75.69844335374454
Minsheng Bank,A-H,0.9920990946884993,-3.4377897690138535,87.38306410904275
Ping An,A-H,0.989159257320869,-4.28965268733494,63.591882999486685
China Life,A-H,0.998224848386269,-2.067734599952669,390.12542498061174
China Pacific Insurance,A-H,0.9942462605647904,-3.2994625892459086,120.12208346206947
New China Life,A-H,0.994937374710246,-2.935967985067992,136.56770638739505
CITIC Securities,A-H,0.9946253075602707,-3.296453010514311,128.61810954951787
Huatai Securities,A-H,0.988140054549121,-3.929590409394376,58.09711910155681
Sinopec,A-H,0.9928075031848336,-3.4493416708488804,96.02388015046968
PetroChina,A-H,0.9942493332531332,-3.0206709452535505,120.18645246573759
CNOOC,A-H,0.9724452339561576,-3.780878544359787,24.807067982828084
China Shenhua,A-H,0.9897286456835461,-4.21798198451568,67.13635356250705
China Coal Energy,A-H,0.9935665818838944,-3.1062311889842236,107.39471877002671
Yanzhou Coal,A-H,0.9941392232806776,-2.954615176637206,117.92191262931117
Huaneng Power,A-H,0.9958563192487156,-2.753259747241085,166.93131974201341
Zijin Mining,A-H,0.9960633682401381,-2.4663240760813467,175.7294035217069
Chalco,A-H,0.9928562654126771,-3.2270115377184063,96.6816983495262
Jiangxi Copper,A-H,0.9886654550234486,-4.184232077747233,60.80627540411531
Anhui Conch Cement,A-H,0.9953194303788351,-2.846196500133541,147.74350267204304
Angang Steel,A-H,0.9947338765536045,-2.9259029649373662,131.27692166524153
Maanshan Iron,A-H,0.9953248583240881,-2.8052853711071366,147.9154392305103
Shanghai Petrochemical,A-H,0.9947563393787379,-2.7764030289303308,131.84077380240132
CRRC,A-H,0.9953469571789917,-2.841412935225394,148.61958763062842
China Railway Group,A-H,0.9943801589176077,-3.2898826543251913,122.99238581623048
China Comm. Construction,A-H,0.9945401903403884,-3.4390410157777755,126.60756898818661
Weichai Power,A-H,0.9891081650714163,-4.229714648660299,63.291949676962226
Guangshen Railway,A-H,0.9937387661412262,-3.3417746481831205,110.3576301848813
BYD,A-H,0.9907373572602097,-3.710804231375926,74.48543938284428
Great Wall Motor,A-H,0.9956618752621706,-2.6189476862232195,159.43354640126518
Guangzhou Automobile,A-H,0.9967436381808198,-2.376246193995113,212.51262497085463
Air China,A-H,0.9924546500324859,-3.678567447223262,91.51714148444393
China Southern Airlines,A-H,0.9841315322524865,-5.068856708844131,43.33329077948544
China Eastern Airlines,A-H,0.9920958533487618,-3.5451731212135864,87.34708748181535
