name,lags,adf_p_la,adf_p_lh,both_I1,trace_r0,crit_r0,trace_r1,crit_r1,rej_r0,rej_r1,margin_r0,valid_coint
ICBC,6,0.865826508495281,0.9322036234836535,True,12.325725111153922,15.4943,0.08901769933640709,3.8415,False,False,-0.20449938937842166,False
China Construction Bank,5,0.8060798544349278,0.9442506773980854,True,13.848497743290702,15.4943,0.04462739205869952,3.8415,False,False,-0.10621985224949167,False
Bank of China,9,0.8769950203500507,0.9787787996701961,True,17.511555039656074,15.4943,0.13331535054618707,3.8415,True,False,0.13019336398908454,True
Bank of Communications,6,0.5880929960894665,0.8588397428711023,True,14.805737968907005,15.4943,0.2925466075479373,3.8415,False,False,-0.04443969918570028,False
China Merchants Bank,10,0.3895992097961144,0.6168903661977887,True,16.128490160169914,15.4943,4.316135078412189,3.8415,True,True,0.040930546082747404,False
CITIC Bank,2,0.25445705003354446,0.9630010995867655,True,24.801692972361707,15.4943,0.004654353798044367,3.8415,True,False,0.6006978677553491,True
Minsheng Bank,6,0.23944658419862574,0.37420734880982087,True,9.790900852613246,15.4943,3.2301793735493147,3.8415,False,False,-0.3680965998713562,False
Ping An,8,0.20154853961675306,0.31243140046376894,True,22.20965455858502,15.4943,6.976544032079088,3.8415,True,True,0.4334080635191662,False
China Life,7,0.04610903148552835,0.5947390929351096,False,11.015685687537303,15.4943,1.6861492969241834,3.8415,False,False,-0.28904915436403694,False
China Pacific Insurance,6,0.07147269520979008,0.12405254696054485,True,16.113838781719824,15.4943,6.229394380609141,3.8415,True,True,0.039984948124137484,False
New China Life,10,0.14924026287115721,0.574662710736529,True,12.418105608792489,15.4943,1.7197794830215398,3.8415,False,False,-0.19853716471266927,False
CITIC Securities,2,0.07760205019973711,0.22311269034834447,True,13.467148490492702,15.4943,5.008698080644839,3.8415,False,True,-0.13083208079792558,False
Huatai Securities,2,0.0011295792609782062,0.09897455614689349,False,28.044270168165035,15.4943,5.697675473317586,3.8415,True,True,0.80997335588991,False
Sinopec,2,0.365835504876422,0.3814638612429664,True,17.560167849179862,15.4943,2.6942006504127756,3.8415,True,False,0.1333308280580511,True
PetroChina,5,0.8005810647420828,0.939109533457469,True,13.466595200609177,15.4943,0.2749663275840972,3.8415,False,False,-0.13086779005123328,False
CNOOC,1,0.816037715351041,0.7241231924448261,True,18.245778326338204,15.4943,0.9350008972471634,3.8415,True,False,0.17758003435703473,True
China Shenhua,10,0.9498873877300875,0.9921749459473241,True,11.638527252866457,15.4943,0.6179819489727584,3.8415,False,False,-0.24885104503808136,False
China Coal Energy,2,0.7608194464945163,0.9290838650002982,True,14.553460405131027,15.4943,0.14433866954056268,3.8415,False,False,-0.06072165860148403,False
Yanzhou Coal,2,0.8976346784627789,0.9439436389924494,True,8.028729026438135,15.4943,0.057327699542561984,3.8415,False,False,-0.4818269281969411,False
Huaneng Power,8,0.07546411133394974,0.25456154824280997,True,17.063667725888184,15.4943,5.702976720158826,3.8415,True,True,0.10128677809828021,False
Zijin Mining,5,0.9431567432528267,0.952440686556496,True,8.44136343009165,15.4943,0.05736972199945448,3.8415,False,False,-0.455195560296906,False
Chalco,1,0.3284466599985456,0.5171245320136437,True,17.891573757246043,15.4943,3.196462994365127,3.8415,True,False,0.15471971997741377,True
Jiangxi Copper,5,0.6763265060705352,0.9415939998987057,True,18.404382198126964,15.4943,0.36713422360261844,3.8415,True,False,0.18781630652091175,True
Anhui Conch Cement,8,0.3917801840309735,0.4560473867889271,True,13.642943524724997,15.4943,3.05899580013008,3.8415,False,False,-0.11948629336433425,False
Angang Steel,10,0.1667503431722721,0.5655677653543743,True,16.52665443995813,15.4943,3.135351066004557,3.8415,True,False,0.06662801417025153,True
Maanshan Iron,2,0.032830346534628296,0.1620147483311543,False,15.32741751549333,15.4943,5.016223758474629,3.8415,False,True,-0.010770572694905257,False
Shanghai Petrochemical,6,0.19018249429314477,0.5625115914569706,True,13.323140774763043,15.4943,1.9192434118011334,3.8415,False,False,-0.1401263190487442,False
CRRC,10,0.05110273950597675,0.3340524837187955,True,12.901897868195814,15.4943,3.1515969421061683,3.8415,False,False,-0.16731327854786515,False
China Railway Group,8,0.01739423909485125,0.006408897488675827,False,25.937252230870598,15.4943,10.121153510602232,3.8415,True,True,0.6739867067805966,False
China Comm. Construction,5,0.027670052064494313,0.25360555157119985,False,15.72669513730326,15.4943,4.539283644203895,3.8415,True,True,0.01499875033420412,False
Weichai Power,7,0.8694266538772344,0.9094247567063856,True,20.424612227304966,15.4943,0.33435078349673597,3.8415,True,False,0.3182016759263061,True
Guangshen Railway,9,0.3184256369321687,0.5149148054344339,True,17.298721777355258,15.4943,1.994150660344543,3.8415,True,False,0.11645713438846912,True
BYD,2,0.7145940629559042,0.7540304815337262,True,12.761588179607738,15.4943,0.9917880266338619,3.8415,False,False,-0.17636884663342406,False
Great Wall Motor,3,0.4614267949723888,0.2941377119039543,True,12.501406750413656,15.4943,1.870526194595291,3.8415,False,False,-0.19316092044082953,False
Guangzhou Automobile,3,0.47287053729146633,0.6285231110444583,True,8.55616600794376,15.4943,2.0557868291918577,3.8415,False,False,-0.4477862176449559,False
