name,lags,adf_p_la,adf_p_lh,both_I1,trace_r0,crit_r0,trace_r1,crit_r1,rej_r0,rej_r1,valid_coint
ICBC,6,0.5401386456704271,0.33462892460869076,True,10.685342511843555,15.4943,2.0313574058469874,3.8415,False,False,False
China Construction Bank,6,0.4501946143580665,0.39938362029476787,True,11.389745634742836,15.4943,2.22528997386833,3.8415,False,False,False
Bank of China,6,0.5416548211187693,0.6183701248160749,True,14.673317491113153,15.4943,1.0509711299383253,3.8415,False,False,False
Bank of Communications,6,0.14387267538794585,0.17277902611959228,True,20.488375911357984,15.4943,5.04737168451056,3.8415,True,True,False
China Merchants Bank,10,0.3038800401797255,0.4787798700689456,True,16.820669445085585,15.4943,5.548820116007221,3.8415,True,True,False
CITIC Bank,2,0.02241334715173858,0.6668186569203829,False,28.300371902592083,15.4943,1.5685014121388472,3.8415,True,False,False
Minsheng Bank,5,0.8028962599045599,0.662671790674937,True,10.34352123970966,15.4943,1.0857536804595216,3.8415,False,False,False
Ping An,8,0.17658111233359974,0.2849214692308225,True,18.936163223071155,15.4943,6.50026021660235,3.8415,True,True,False
China Life,7,0.01857061289781341,0.438202949685515,False,13.030927850463078,15.4943,2.5721139405568803,3.8415,False,False,False
China Pacific Insurance,6,0.03338691134580644,0.11097988063278746,False,16.762944338957908,15.4943,6.250105704248898,3.8415,True,True,False
New China Life,10,0.10074120029887446,0.36952903460603287,True,13.92674674139755,15.4943,3.448775123967263,3.8415,False,False,False
CITIC Securities,2,0.02377777814664074,0.03910109276604587,False,17.189848755261877,15.4943,8.002756643481332,3.8415,True,True,False
Huatai Securities,2,0.0004427666085794055,0.014376835505594153,False,31.938450245498345,15.4943,9.749432267513063,3.8415,True,True,False
Sinopec,7,0.08465744424684324,0.23927321018975456,True,14.876154556903318,15.4943,4.575684213659481,3.8415,False,True,False
PetroChina,5,0.5273358440601225,0.6581525283620231,True,15.694652996635554,15.4943,1.8494730426743018,3.8415,True,False,True
CNOOC,1,0.7256615437699587,0.7782188089521269,True,22.61669621659455,15.4943,0.8482383817567892,3.8415,True,False,True
