name,adf_stat,adf_p,adf_lags,pp_stat,pp_p,kpss_stat,kpss_p,adf_p_fdr,pp_p_fdr,adf_rejects,pp_rejects,kpss_rejects,verdict
ICBC,-2.823763941340075,0.054958617441050926,9,-3.0275945287685992,0.03239654814597824,6.268149349714056,0.01,0.1427500243773775,0.0887383710085491,False,False,True,UNIT ROOT
China Construction Bank,-2.997780611460016,0.03510218370627193,6,-3.131901887630483,0.024280630850563558,5.779244766555588,0.01,0.1340811318340009,0.08050946018871075,False,False,True,UNIT ROOT
Bank of China,-3.5587577246192907,0.006600244656937674,6,-3.3702681567162767,0.012015161446300557,4.790333601371278,0.01,0.09870849993093679,0.06431197976202645,False,False,True,UNIT ROOT
Bank of Communications,-3.1934252354732924,0.020368420620669497,19,-3.9566863413325146,0.0016550919753110147,0.8240825542050431,0.01,0.09870849993093679,0.026067698611148483,False,True,True,UNIT ROOT
China Merchants Bank,-3.2314908319895146,0.018232711955881217,7,-4.195756709026901,0.0006698829281440554,1.1144146573582374,0.01,0.09870849993093679,0.02022945054678497,False,True,True,UNIT ROOT
CITIC Bank,-2.4633739025036325,0.12464202498777804,26,-3.3317718572047075,0.013516645431846048,0.9580828284220232,0.01,0.19631118935575043,0.06550374324663855,False,False,True,UNIT ROOT
Minsheng Bank,-2.2340133016796777,0.19413294316711244,13,-2.6508851143027696,0.08292964777837575,1.1251895509540013,0.01,0.2572651673848269,0.1306141952509418,False,False,True,UNIT ROOT
Ping An,-3.4817020908938536,0.00846964798271921,5,-3.6107970685947213,0.005557934408955578,4.911903628894352,0.01,0.09870849993093679,0.05224574364788756,False,False,True,UNIT ROOT
China Life,-2.0094022702163175,0.28246580907437085,10,-2.017793555812876,0.27882615162796875,6.532179668383842,0.01,0.3177740352086672,0.2927674592093672,False,False,True,UNIT ROOT
China Pacific Insurance,-2.9151911658254663,0.04360977561110188,5,-2.869312350088957,0.0490347013127854,6.0475873702513345,0.01,0.1340811318340009,0.09419166147970595,False,False,True,UNIT ROOT
New China Life,-2.393988443574836,0.14344031987291134,10,-2.558788377855733,0.10181747249517992,3.7898364451095325,0.01,0.22040829639008327,0.15272620874276988,False,False,True,UNIT ROOT
CITIC Securities,-2.905660467251708,0.04469371061133363,2,-3.061168398095249,0.029563583352467664,3.490391364681851,0.01,0.1340811318340009,0.08465935232752105,False,False,True,UNIT ROOT
